Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.09, 3.01, 0.00), Sphere:(0.06, 3.00, 0.00), Time: 6,157043
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.06, 3.01, 0.00), Sphere:(0.04, 3.00, 0.00), Time: 6,212293
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.03, 3.01, 0.00), Sphere:(0.01, 3.00, 0.00), Time: 6,268456
Player: Followcircle - Arrow, Rotation: 5, Pointer:(0.00, 3.02, 0.00), Sphere:(-0.02, 3.00, 0.00), Time: 6,327075
Player: Followcircle - Arrow, Rotation: 5, Pointer:(-0.05, 3.00, 0.00), Sphere:(-0.05, 3.00, 0.00), Time: 6,378871
Player: Followcircle - Arrow, Rotation: 5, Pointer:(-0.08, 3.01, 0.00), Sphere:(-0.08, 3.00, 0.00), Time: 6,434488
Player: Followcircle - Arrow, Rotation: 5, Pointer:(-0.10, 2.99, 0.00), Sphere:(-0.11, 2.99, 0.00), Time: 6,501482
Player: Followcircle - Arrow, Rotation: 5, Pointer:(-0.13, 2.99, 0.00), Sphere:(-0.14, 2.99, 0.00), Time: 6,56864
Player: Followcircle - Arrow, Rotation: 5, Pointer:(-0.16, 2.98, 0.00), Sphere:(-0.18, 2.98, 0.00), Time: 6,635629
Player: Followcircle - Arrow, Rotation: 5, Pointer:(-0.19, 2.98, 0.00), Sphere:(-0.21, 2.98, 0.00), Time: 6,701329
Player: Followcircle - Arrow, Rotation: 5, Pointer:(-0.23, 2.96, 0.00), Sphere:(-0.24, 2.97, 0.00), Time: 6,768541
Player: Followcircle - Arrow, Rotation: 5, Pointer:(-0.28, 2.93, 0.00), Sphere:(-0.27, 2.96, 0.00), Time: 6,834562
Player: Followcircle - Arrow, Rotation: 5, Pointer:(-0.27, 2.93, 0.00), Sphere:(-0.30, 2.95, 0.00), Time: 6,901496
Player: Followcircle - Arrow, Rotation: 5, Pointer:(-0.33, 2.92, 0.00), Sphere:(-0.34, 2.94, 0.00), Time: 6,968716
Player: Followcircle - Arrow, Rotation: 5, Pointer:(-0.36, 2.92, 0.00), Sphere:(-0.37, 2.93, 0.00), Time: 7,035604
Player: Followcircle - Arrow, Rotation: 5, Pointer:(-0.38, 2.91, 0.00), Sphere:(-0.40, 2.92, 0.00), Time: 7,101503
Player: Followcircle - Arrow, Rotation: 5, Pointer:(-0.42, 2.87, 0.00), Sphere:(-0.43, 2.90, 0.00), Time: 7,168591
Player: Followcircle - Arrow, Rotation: 5, Pointer:(-0.43, 2.86, 0.00), Sphere:(-0.46, 2.89, 0.00), Time: 7,23421
Player: Followcircle - Arrow, Rotation: 5, Pointer:(-0.48, 2.85, 0.00), Sphere:(-0.49, 2.87, 0.00), Time: 7,301528
